idx,fen,move_fen,move_qp,score,best_move1_fen,best_move1_qp,best_score1,best_move2_fen,best_move2_qp,best_score2,best_move3_fen,best_move3_qp,best_score3
1,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR,b2e2,红 炮8平5,32,"b2e2,b9c7,b0c2,a9b9,a0b0,g6g5,c3c4,h9g7,h0i2,i9i8,h2g2,g7h5","红 炮8平5,黑 马2进3,红 马8进7,黑 车1平2,红 车9平8,黑 卒7进1,红 兵7进1,黑 马8进7,红 马2进1,黑 车9进1,红 炮2平3,黑 ",32,"h2e2,h9g7,h0g2,i9h9,i0h0,g6g5,h0h6,c9e7,b0c2,h7i7,e2e6,d9e8","红 炮2平5,黑 马8进7,红 马2进3,黑 车9平8,红 车1平2,黑 卒7进1,红 马2进62进2,黑 象3进5,红 马8进7,黑 炮8平9,黑 5退4,黑 士4进5",31,"g3g4,h7g7,b2e2,g9e7,e2e6,f9e8","红 兵3进1,黑 炮8平7,红 炮8平5,黑 象7进5,黑 5退4,黑 士6进5",30
2,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/4C2C1/9/RNBAKABNR,b9c7,黑 马2进3,-26,"b9c7,b0c2,a9b9,a0b0,g6g5,c3c4,h9g7,h0i2,g9e7,i0i1","黑 马2进3,红 马8进7,黑 车1平2,红 车9平8,黑 卒7进1,红 兵7进1,黑 马8进7,红 马2进1,黑 象7进5,红 车1进1",-26,"h9g7,b0c2,b9c7,a0b0,a9b9,g3g4,c6c5,b0b6,c9e7","黑 马8进7,红 马8进7,黑 马2进3,红 车9平8,黑 车1平2,红 兵3进1,黑 卒3进1,红 马8进68进8,黑 象3进5",-30,"b7e7,b0c2,b9c7,a0b0,a9a8,h0g2,h9g7,g3g4,a8f8,b0b4,f8f3","黑 2平5,红 马8进7,黑 马2进3,红 车9平8,黑 车1进1,红 马2进3,黑 马8进7,红 兵3进1,黑 1平6,红 马8进48进8,黑 6进5",-30
3,r1bakabnr/9/1cn4c1/p1p1p1p1p/9/9/P1P1P1P1P/4C2C1/9/RNBAKABNR,c3c4,红 兵7进1,19,"b0c2,a9b9,g3g4,b7a7,h0g2,b9b4,e3e4,h7e7","黑 ,黑 车1平2,红 兵3进1,黑 2平1,红 马2进3,黑 马2进52进2,红 兵5进1,黑 炮8平5",27,"g3g4,h7g7,b0c2,g6g5,g0i2,g5g4,a0b0,h9i7,i2g4,a9b9","红 兵3进1,黑 炮8平7,黑 ,黑 卒7进1,红 相3进1,黑 7进1,红 车9平8,黑 马8进9,黑 ,黑 车1平2",25,"h2f2,a9b9,b0c2,b7a7,h0g2,h9g7,i0h0,i9h9,h0h6,c6c5,g3g4,b9b4","红 炮2平4,黑 车1平2,黑 ,黑 2平1,红 马2进3,黑 马8进7,红 车1平2,黑 车9平8,红 马2进62进2,黑 卒3进1,红 兵3进1,黑 马2进52进2",23
4,r1bakabnr/9/1cn4c1/p1p1p1p1p/9/2P6/P3P1P1P/4C2C1/9/RNBAKABNR,g6g5,黑 卒7进1,-20,"g6g5,h2g2,h9g7,b0c2,a9b9,a0b0,i9i8","黑 卒7进1,红 炮2平3,黑 马8进7,黑 ,黑 车1平2,红 车9平8,黑 车9进1",-20,"a9b9,b0c2,g6g5,a0b0,h9g7,h0i2,i9i8,i0i1,i8f8","黑 车1平2,黑 ,黑 卒7进1,红 车9平8,黑 马8进7,红 马2进1,黑 车9进1,红 车1进1,黑 9平6",-21,"b7a7,b0c2,a9b9,h0g2,g6g5,h2h6,h9g7,h6g6,i9h9,i0h0,g9e7,h0h6,b9b5,a0b0,b5b0,c2b0,h7i7","黑 2平1,黑 ,黑 车1平2,红 马2进3,黑 卒7进1,红 炮2进4,黑 马8进7,黑 8平7,黑 车9平8,红 车1平2,黑 象7进5,红 马2进62进2,黑 马2进42进2,红 车9平8,黑 2进5,红 马7退8,黑 炮8平9",-25
5,r1bakabnr/9/1cn4c1/p1p1p3p/6p2/2P6/P3P1P1P/4C2C1/9/RNBAKABNR,b0c2,黑 ,21,"h2h6,b7a7,b0c2,a9b9,h0g2,h9g7","红 炮2进4,黑 2平1,黑 ,黑 车1平2,红 马2进3,黑 马8进7",21,"b0c2,a9b9,a0b0,h9g7,h0i2,i9i8,h2h6,g7h5,i0i1,i8f8,h6c6","黑 ,黑 车1平2,红 车9平8,黑 马8进7,红 马2进1,黑 车9进1,红 炮2进4,黑 ,红 车1进1,黑 9平6,黑 8平3",21,"h0g2,a9b9,b0c2,h9g7,a0b0,i9i8,e3e4,c9e7,g2e3,i8d8,e4e5,e6e5,e2e5,d9e8,g3g4,g7e6","红 马2进3,黑 车1平2,黑 ,黑 马8进7,红 车9平8,黑 车9进1,红 兵5进1,黑 象3进5,黑 ,黑 9平4,黑 5退1,黑 卒5进1,黑 5退3,黑 士4进5,黑 7退1,黑 ",15
6,r1bakabnr/9/1cn4c1/p1p1p3p/6p2/2P6/P3P1P1P/2N1C2C1/9/R1BAKABNR,a9b9,黑 车1平2,-26,"h9g7,h0i2,a9b9,a0b0,i9i8,h2h6,g7h5,i0i1,i8d8,h6c6,d9e8,b0b5,g9e7","黑 马8进7,红 马2进1,黑 车1平2,红 车9平8,黑 车9进1,红 炮2进4,黑 ,红 车1进1,黑 9平4,黑 8平3,黑 士4进5,黑 2退5,黑 象7进5",-24,"a9b9,a0b0,h9g7,h2g2,g7h5,h0i2,i9i8,i0i1,i8f8,g3g4,g5g4","黑 车1平2,红 车9平8,黑 马8进7,红 炮2平3,黑 ,红 马2进1,黑 车9进1,红 车1进1,黑 9平6,黑 7退1,黑 7进1",-26,"c9e7,h2g2,h9g7,g3g4,g7h5,a0b0,a9b9,g4g5,e7g5,b0b5,c6c5,b5c5,g9e7","黑 象3进5,红 炮2平3,黑 马8进7,黑 7退1,黑 ,红 车9平8,黑 车1平2,红 兵3进1,黑 炮,黑 2退5,黑 3进1,黑 2平3,黑 象7进5",-41
7,1rbakabnr/9/1cn4c1/p1p1p3p/6p2/2P6/P3P1P1P/2N1C2C1/9/R1BAKABNR,a0b0,黑 1平2,25,"a0b0,h9g7,h0g2,g9e7,h2h6,b7b3,h6c6,i9h9,c2d4,h7h3,c4c5","黑 1平2,黑 马8进7,红 马2进3,黑 象7进5,红 炮2进4,黑 2进4,黑 8平3,黑 车9平8,红 马7进6,黑 炮8进4,黑 3退1",25,"h0g2,h9g7,a0b0,i9i8,e3e4,i8d8,e4e5,d9e8,b0b6,e6e5,g2e3,h7h6","红 马2进3,黑 马8进7,黑 1平2,黑 车9进1,红 兵5进1,黑 9平4,黑 5退1,黑 士4进5,红 车8进6,黑 卒5进1,黑 ,黑 炮8进1",22,"h2h6,h9g7,a0b0,c9e7,h0g2,g7h5,c2d4,b7b2,d4e6,b2g2","红 炮2进4,黑 马8进7,黑 1平2,黑 象3进5,红 马2进3,黑 ,红 马7进6,黑 2进5,黑 ,红 炮8平3",21
8,1rbakabnr/9/1cn4c1/p1p1p3p/6p2/2P6/P3P1P1P/2N1C2C1/9/1RBAKABNR,b7b1,黑 2进6,,"h9g7,h0i2,i9i8,h2h6,g7h5,i0i1,i8d8,i1f1,d8d3,h6c6,d9e8,f1f6,g5g4,f6h6,h5f4,g3g4,h7g7,f0e1,g7g0","黑 马8进7,红 马2进1,黑 车9进1,红 炮2进4,黑 ,红 车1进1,黑 9平4,黑 9平6,黑 4进5,黑 8平3,黑 士4进5,黑 6退5,黑 7进1,黑 6平8,黑 ,黑 7退1,黑 炮8平7,红 仕4进5,黑 7进7",-21,"c9e7,h0g2,h9g7,i0i1,i9i8,i1f1","黑 象3进5,红 马2进3,黑 马8进7,红 车1进1,黑 车9进1,黑 9平6",-36,"i6i5,h0g2,h9g7,i0i1,h7i7,i1f1,i9h9,e3e4,h9h3,e4e5,d9e8,e5f5,c9e7","黑 卒9进1,红 马2进3,黑 马8进7,红 车1进1,黑 炮8平9,黑 9平6,黑 车9平8,红 兵5进1,黑 马8进68进8,黑 5退1,黑 士4进5,黑 5平6,黑 象3进5",-41
9,1rbakabnr/9/2n4c1/p1p1p3p/6p2/2P6/P3P1P1P/2N1C2C1/1c7/1RBAKABNR,h0i2,红 马2进1,73,"h2g2,h9i7,i0i1,b1b5,i1f1,f9e8,i3i4,g9e7,h0i2,i9h9,f1f6,h7h3,g2g5,h9g9,g5g4,g9g6,f6f2","红 炮2平3,黑 马8进9,红 车1进1,黑 2退4,黑 9平6,黑 士6进5,红 兵1进1,黑 象7进5,红 马2进1,黑 车9平8,黑 6退5,黑 炮8进4,黑 7退3,黑 马8平78进7,黑 7进1,黑 象7进37进7,黑 6进4",77,"i0i1,b1b5,h0g2,h9g7,h2h6,i9i8,i1f1,i8d8,f1f6","红 车1进1,黑 2退4,红 马2进3,黑 马8进7,红 炮2进4,黑 车9进1,黑 9平6,黑 9平4,黑 6退5",77,"h0i2,h9g7,i0i1,b1b5,h2h6,h7i7,h6c6,c9e7,c4c5,e7c5,c2d4,b5b2,i1c1,c5e7,c6d6","红 马2进1,黑 马8进7,红 车1进1,黑 2退4,红 炮2进4,黑 炮8平9,黑 8平3,黑 象3进5,黑 3退1,黑 炮,红 马7进6,黑 2进3,黑 9平3,黑 卒,黑 3平4",73
10,1rbakabnr/9/2n4c1/p1p1p3p/6p2/2P6/P3P1P1P/2N1C2CN/1c7/1RBAKAB1R,h9g7,黑 ,-73,"h9g7,i0i1,b1b5,h2h6,c9e7,c2d4,i6i5,h6c6,i5i4,c4c5,b5b8,i1h1,h7h5,b0b7,b8h8,b7b9,h8h1,b9b7,h5c5,c6d6,c7d5,b7b5","黑 ,红 车1进1,黑 2退4,红 炮2进4,黑 象3进5,红 马7进6,黑 卒9进1,黑 8平3,黑 9进1,黑 3退1,黑 2退3,黑 9平8,黑 炮8进2,红 车8进7,红 炮8平2,黑 2退2,黑 8进7,黑 车2进2,黑 8平3,黑 3平4,黑 马3进4,黑 2进2",-73,"i6i5,i0i1,b1b5,i1f1,g9e7,h2h6,d9e8,h6c6,i5i4,c4c5,e7c5,c2d4,b5b2,i3i4,i9i4,d4f5","黑 卒9进1,红 车1进1,黑 2退4,黑 9平6,黑 象7进5,红 炮2进4,黑 士4进5,黑 8平3,黑 9进1,黑 3退1,黑 炮,红 马7进6,黑 2进3,红 兵1进1,黑 车9进5,黑 ",-82,"b1b5,h2g2,h9i7,i0h0,i9h9,g2g5,i6i5,h0h6,h7f7,h6h9,i7h9,g5g6,c9e7,c2d4,d9e8,g3g4,h9i7,g6c6,b9d9","黑 2退4,红 炮2平3,黑 ,红 车1平2,黑 车9平8,黑 7退3,黑 卒9进1,红 马2进62进2,黑 炮8平6,黑 8退3,黑 马9退8,黑 7退1,黑 象3进5,红 马7进6,黑 士4进5,黑 7退1,黑 ,黑 卒7平3,黑 车2平4",-90
