idx,fen,move_fen,move_qp,score,best_move1_fen,best_move1_qp,best_score1,best_move2_fen,best_move2_qp,best_score2,best_move3_fen,best_move3_qp,best_score3
1,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR,h2e2,红 炮2平5,28,"h2e2,h9g7,h0g2,g6g5,i0h0,i9h9,h0h6,c9e7,e3e4,h7i7,h6g6","红 炮2平5,黑 马8进7,红 马2进3,黑 卒7进1,红 车1平2,黑 车9平8,红 马2进62进2,黑 象3进5,红 兵5进1,黑 炮8平9,黑 8平7",28,"g3g4,h7e7,h0g2,h9g7,i0h0,i9h9,h2h6,c6c5,b2e2","红 兵3进1,黑 炮8平5,红 马2进3,黑 马8进7,红 车1平2,黑 车9平8,红 炮2进4,黑 卒3进1,红 炮8平5",28,"b0c2,c6c5,h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,h0h4,h7i7,h4h9,g7h9,g3g4","红 马8进7,黑 卒3进1,红 炮2平5,黑 马8进7,红 马2进3,黑 车9平8,红 车1平2,黑 马2进3,红 马2进42进2,黑 炮8平9,黑 8退5,黑 ,红 兵3进1",23
2,rnbakabnr/9/1c2c4/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR,h7e7,黑 炮8平5,-36,"h9g7,h0g2,g6g5,i0h0,i9h9,h0h6,c9e7,b0a2,h7i7,e2e6,d9e8","黑 马8进7,红 马2进3,黑 卒7进1,红 车1平2,黑 车9平8,红 马2进62进2,黑 象3进5,红 马8进9,黑 炮8平9,红 炮5进4,黑 士4进5",-27,"b9c7,h0g2,h9g7,i0h0,i9h9,c3c4,g6g5,h0h6,h7i7","黑 马2进3,红 马2进3,黑 马8进7,红 车1平2,黑 车9平8,红 兵7进1,黑 卒7进1,红 马2进62进2,黑 炮8平9",-30,"h7e7,h0g2,h9g7,i0h0,i9i8,c3c4,i8d8,b0c2,b9c7,g3g4,a9a8,h0h6,d8d1","黑 炮8平5,红 马2进3,黑 马8进7,红 车1平2,黑 车9进1,红 兵7进1,黑 9平4,红 马8进7,黑 马2进3,红 兵3进1,黑 车1进1,红 马2进62进2,黑 4进7",-36
3,rnbakabnr/9/1c2c4/p1p1p1p1p/9/9/P1P1P1P1P/1C2C4/9/RNBAKABNR,h0g2,红 马2进3,36,"h0g2,h9g7,i0h0,i9i8,b0c2,b9a7,h0h5,b7c7,a0b0,a9b9","红 马2进3,黑 马8进7,红 车1平2,黑 车9进1,红 马8进7,黑 马2进1,红 马2进52进2,黑 炮2平3,红 车9平8,黑 车1平2",36,"i0i1,h9g7,h0g2,i9h9,b0c2,c6c5,b2a2,b9c7,a0b0,a9b9","红 车1进1,黑 马8进7,红 马2进3,黑 车9平8,红 马8进7,黑 卒3进1,红 炮8平9,黑 马2进3,红 车9平8,黑 车1平2",27,"b0c2,h9g7,i0i1,i9h9,h0g2,b9c7,i1d1,h9h5,a0a1,b7a7,d1d6,a9b9,d6c6,b9b7,a1d1,a7a8,d1d7","红 马8进7,黑 马8进7,红 车1进1,黑 车9平8,红 马2进3,黑 马2进3,黑 9平4,黑 马8进48进8,红 车9进1,黑 炮2平1,黑 4退5,黑 车1平2,黑 4平3,黑 马2进22进2,黑 1平4,黑 1退1,黑 4退6",25
4,rnbakab1r/9/1c2c1n2/p1p1p1p1p/9/9/P1P1P1P1P/1C2C4/9/RNBAKABNR,h9g7,黑 马8进7,-38,"i9i8,i0h0,h9g7,b0c2,i8d8,c3c4,b9a7,h0h4,d8d3,b2b6,d3c3","黑 车9进1,红 车1平2,黑 马8进7,红 马8进7,黑 9平4,红 兵7进1,黑 马2进1,黑 8退4,黑 4进5,红 炮8进4,黑 4平3",-38,"h9g7,i0h0,i9i8,b0c2,i8d8,c3c4,b9a7,h0h4,d8d3","黑 马8进7,红 车1平2,黑 车9进1,红 马8进7,黑 9平4,红 兵7进1,黑 马2进1,黑 8退4,黑 4进5",-38,"g6g5,i0h0,h9g7,b0c2,i9i8,c3c4,i8d8,h0h4,b9c7,f0e1","黑 卒7进1,红 车1平2,黑 马8进7,红 马8进7,黑 车9进1,红 兵7进1,黑 9平4,黑 8退4,黑 马2进3,红 仕4进5",-46
5,rnbakab1r/9/1c2c1n2/p1p1p1p1p/9/9/P1P1P1P1P/1C2C1N2/9/RNBAKAB1R,i0h0,红 车1平2,43,"i0h0,i9i8,b0c2,b9c7,c3c4,i8d8,g3g4,b7a7,a0b0,a9b9,b2b6","红 车1平2,黑 车9进1,红 马8进7,黑 马2进3,红 兵7进1,黑 9平4,红 兵3进1,黑 炮2平1,红 车9平8,黑 车1平2,红 炮8进4",43,"b0c2,i9h9,g3g4,c6c5,b2b6,b9c7,b6c6,a9b9,i0i1,h9h5,a0b0","红 马8进7,黑 车9平8,红 兵3进1,黑 卒3进1,红 炮8进4,黑 马2进3,黑 2平3,黑 车1平2,红 车1进1,黑 8进4,红 车9平8",24,"g3g4,i9h9,b0c2,b9c7,c3c4,a9a8,c2d4,h9h5,d4c6,a8d8,b2c2,d8d6,a0b0","红 兵3进1,黑 车9平8,红 马8进7,黑 马2进3,红 兵7进1,黑 车1进1,黑 ,黑 8进4,黑 ,黑 1平4,红 炮8平7,黑 4进2,红 车9平8",24
6,rnbakabr1/9/1c2c1n2/p1p1p1p1p/9/9/P1P1P1P1P/1C2C1N2/9/RNBAKAB1R,b9a7,黑 马2进1,-60,"i9i8,b0c2,i8d8,g3g4,b9a7,h0h5,d8d4,b2b1","黑 车9进1,红 马8进7,黑 9平4,红 兵3进1,黑 马2进1,红 车2进5,黑 4进4,红 炮8退1",-43,"g6g5,b0c2,i9i8,c3c4,i8d8,h0h4,b9c7,b2b4","黑 卒7进1,红 马8进7,黑 车9进1,红 兵7进1,黑 9平4,红 车2进4,黑 马2进3,红 炮8进2",-47,"b9c7,b0c2,i9i8,c3c4,i8d8,g3g4,b7a7,c2b4,d8d4","黑 马2进3,红 马8进7,黑 车9进1,红 兵7进1,黑 9平4,红 兵3进1,黑 炮2平1,黑 ,黑 4进4",-47
7,rnbakabr1/9/1c2c1n2/p1p1p1p1p/9/9/P1P1P1P1P/NC2C1N2/9/R1BAKAB1R,b0c2,红 马8进7,44,"a3a4,b7d7,b0a2,a9b9,b2b4,b9b5,e2b2,b5c5,h0h4,i9h9","红 兵9进1,黑 炮2平4,红 马8进9,黑 车1平2,红 炮8进2,黑 2进4,红 炮5平8,黑 2平3,红 车2进4,黑 车9平8",58,"h0h5,i9h9,h5h9,g7h9,g3g4,h9g7,b0c2,a9a8,d0e1,a6a5,c0a2,a8h8","红 车2进5,黑 车9平8,黑 8退4,黑 马7退8,红 兵3进1,黑 ,红 马8进7,黑 车1进1,红 仕6进5,黑 卒1进1,红 相7进9,黑 1平8",47,"d0e1,i9i8,h0h6,i8d8,h6g6,a6a5,g3g4,d8d1,g4g5","红 仕6进5,黑 车9进1,红 车2进6,黑 9平4,黑 8平7,黑 卒1进1,红 兵3进1,黑 4进7,黑 7退1",47
8,r1bakabr1/9/1cn1c1n2/p1p1p1p1p/9/9/P1P1P1P1P/NC2C1N2/9/R1BAKAB1R,a9a8,黑 车1进1,-61,"i9i8,g3g4,i8d8,e2f2,b7c7,a0b0,c6c5,h0h5,a7c6","黑 车9进1,红 兵3进1,黑 9平4,红 炮5平4,黑 炮2平3,红 车9平8,黑 卒3进1,红 车2进5,黑 马1进3",-45,"b7c7,b2b6,i9i8,g3g4,i8d8,h0h5,a9b9,a0b0,d9e8,e2f2","黑 炮2平3,红 炮8进4,黑 车9进1,红 兵3进1,黑 9平4,红 车2进5,黑 车1平2,红 车9平8,黑 士4进5,红 炮5平4",-46,"b7d7,a0b0,a9b9,b2b6,i9i8,g3g4,i8f8,h0h6,f8f2,g2h4","黑 炮2平4,红 车9平8,黑 车1平2,红 炮8进4,黑 车9进1,红 兵3进1,黑 9平6,红 车2进6,黑 6进6,红 马3进2",-56
9,r1bakabr1/9/1cn1c1n2/p1p1p1p1p/9/9/P1P1P1P1P/NC2C1N2/R8/2BAKAB1R,g3g4,红 兵3进1,61,"g3g4,a8d8,g2f4,i9i8,f4g6,d8d4,h0h4,c6c5,e2g2,b7c7,g0e2,i8b8,a0b0,c5c4,g6e7,c9e7,c3c4,c7c2,g2g7","红 兵3进1,黑 车1平4,红 马3进4,黑 车9进1,黑 ,黑 4进4,红 车2进4,黑 卒3进1,红 炮5平3,黑 炮2平3,红 相3进5,黑 9平2,红 车9平8,黑 3进1,黑 卒,黑 象3进5,红 兵7进1,黑 3进5,红 马3进53进3",61,"b2b4,c6c5,h0h5,a8c8,b4g4,i9h9","红 炮8进2,黑 卒3进1,红 车2进5,黑 车1平3,黑 2平7,黑 车9平8",60,"b2a2,b7c7,g3g4,i9i8,g2f4,i8d8,a0b0,c6c5,h0h5,a8c8,h5c5","红 炮8平9,黑 炮2平3,红 兵3进1,黑 车9进1,红 马3进4,黑 9平4,红 车9平8,黑 卒3进1,红 车2进5,黑 车1平3,黑 8平3",54
10,r1bakabr1/9/1cn1c1n2/p1p1p3p/6p2/9/P1P1P1P1P/NC2C1N2/R8/2BAKAB1R,i9i8,黑 车9进1,-63,"a8d8,d0e1,i9i8,h0h6,c6c5,e2f2,e7c7,c0e2,g9e7,h6g6","黑 车1平4,红 仕6进5,黑 车9进1,红 车2进6,黑 卒3进1,红 炮5平4,黑 炮5平3,红 相7进5,黑 象7进5,黑 8平7",-59,"i9i8,h0h6,b7b6,h6g6,i8g8,g6g5,a8d8,b2a2,e7b7,g2f4,g9e7,g5d5,c6c5,a0a1,d8d5,f4d5,g8d8,d5e7","黑 车9进1,红 车2进6,黑 炮2进1,黑 8平7,黑 9平7,黑 卒7进1,黑 车1平4,红 炮8平9,黑 炮5平2,红 马3进4,黑 象7进5,黑 7平4,黑 卒3进1,红 车9进1,黑 4进3,黑 ,黑 7平4,黑 ",-63,"c6c5,d0e1,a8d8,h0h5,d8c8,c0a2,b7b5,h5h6,b5b6,a0d0,i9i8","黑 卒3进1,红 仕6进5,黑 车1平4,红 车2进5,黑 4平3,红 相7进9,黑 炮2进2,黑 8退1,黑 2退1,红 车9平6,黑 车9进1",-77
