idx,fen,move_fen,move_qp,score,best_move1_fen,best_move1_qp,best_score1,best_move2_fen,best_move2_qp,best_score2,best_move3_fen,best_move3_qp,best_score3
1,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR,h2e2,红 炮2平5,27,"g3g4,b9c7,c3c4,b7a7,b0a2,h7e7,h0g2,a9b9","红 兵3进1,黑 马2进3,红 兵7进1,黑 炮2平1,红 马8进9,黑 炮8平5,红 马2进3,黑 车1平2",30,"h2e2,h9g7,g3g4,h7i7,b2a2","红 炮2平5,黑 马8进7,红 兵3进1,黑 炮8平9,红 炮8平9",27,"c3c4,g6g5,h2e2,h9g7,h0g2,i9h9,i0h0,h7h3,b0c2","红 兵7进1,黑 卒7进1,红 炮2平5,黑 马8进7,红 马2进3,黑 车9平8,红 车1平2,黑 炮8进4,红 马8进7",27
2,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C2C4/9/RNBAKABNR,h7e7,黑 8平5,-36,"h9g7,g3g4,i9h9,h0g2,h7i7,b0c2,c6c5,b2b6,b9c7","黑 马8进7,红 兵3进1,黑 车9平8,红 马2进3,黑 8平9,红 马8进7,黑 卒3进1,红 炮8进4,黑 马2进3",-26,"b9c7,h0g2,h9g7,g3g4,c6c5,b2b6,i9h9,i0h0,c7b5,b6g6,h7h3","黑 马2进3,红 马2进3,黑 马8进7,红 兵3进1,黑 卒3进1,红 炮8进4,黑 车9平8,红 车1平2,黑 ,黑 2平7,黑 8进4",-33,"h7e7,h0g2,h9g7,i0h0,i9i8,h0h6,b9c7,c3c4,i8d8,b0c2,d8d3,h6g6,d3c3,g2e1,c7e8,b2b1,a9a8,b1c1","黑 8平5,红 马2进3,黑 马8进7,红 车1平2,黑 车9进1,红 马2进62进2,黑 马2进3,红 兵7进1,黑 9平4,红 马8进7,黑 4进5,黑 8平7,黑 4平3,黑 ,黑 ,红 炮8退1,黑 车1进1,黑 2平3",-36
3,rnbakabnr/9/1c2c4/p1p1p1p1p/9/9/P1P1P1P1P/1C2C4/9/RNBAKABNR,h0g2,红 马2进3,31,"h0g2,h9g7,i0h0,i9i8,b0c2,i8d8,h0h4,d8d3,c3c4","红 马2进3,黑 马8进7,红 车1平2,黑 车9进1,红 马8进7,黑 9平4,红 马2进42进2,黑 4进5,红 兵7进1",31,"b0c2,h9g7,h0g2,i9h9,c3c4,h9h4,c0a2,b7b3,i0h0,h4h0,g2h0,b3g3,a0b0","红 马8进7,黑 马8进7,红 马2进3,黑 车9平8,红 兵7进1,黑 马8进58进8,红 相7进9,黑 炮2进4,红 车1平2,黑 8进4,黑 ,黑 2平7,红 车9平8",22,"c3c4,h9g7,h0g2,i9h9,b0c2,h9h4,c0a2,b7b3,i0h0,h4c4,a0c0,b9c7","红 兵7进1,黑 马8进7,红 马2进3,黑 车9平8,红 马8进7,黑 马8进58进8,红 相7进9,黑 炮2进4,红 车1平2,黑 8平3,红 车9平7,黑 马2进3",22
4,rnbakabnr/9/1c2c4/p1p1p1p1p/9/9/P1P1P1P1P/1C2C1N2/9/RNBAKAB1R,h9g7,黑 ,-33,"i9i8,i0h0,h9g7,h0h6,b9c7,c3c4,i8d8,b0c2,d8d3,h6g6,e7e8,g2e1,a9a8,e2f2","黑 车9进1,红 车1平2,黑 ,红 马2进62进2,黑 马2进3,红 兵7进1,黑 9平4,红 马8进7,黑 4进5,黑 8平7,黑 炮5退1,黑 ,黑 车1进1,红 炮5平4",-32,"h9g7,i0h0,i9i8,b0c2,i8d8,h0h6,b9c7,c3c4","黑 ,红 车1平2,黑 车9进1,红 马8进7,黑 9平4,红 马2进62进2,黑 马2进3,红 兵7进1",-33,"g6g5,c3c4,i9i8,i0h0,h9g7,h0h4","黑 卒7进1,红 兵7进1,黑 车9进1,红 车1平2,黑 ,红 马2进42进2",-42
5,rnbakab1r/9/1c2c1n2/p1p1p1p1p/9/9/P1P1P1P1P/1C2C1N2/9/RNBAKAB1R,i0h0,红 车1平2,34,"i0h0,i9i8,g3g4,b9c7,b0c2,i8d8,c3c4,a9a8,c0a2,d8d5,a0c0,a8d8,d0e1","红 车1平2,黑 车9进1,红 兵3进1,黑 马2进3,红 马8进7,黑 9平4,红 兵7进1,黑 车1进1,红 相7进9,黑 4进3,红 车9平7,黑 1平4,红 仕6进5",34,"b0c2,i9h9,c3c4,c6c5,c4c5,h9h5,c5c6,h5c5,c2d4,c5c4,d4e6","红 马8进7,黑 车9平8,红 兵7进1,黑 卒3进1,黑 3退1,黑 8进4,黑 3退1,黑 8平3,黑 ,黑 3进1,黑 ",24,"i0i1,i9h9,i1d1,h9h5,b0c2,b9c7,d1d6","红 车1进1,黑 车9平8,黑 9平4,黑 8进4,红 马8进7,黑 马2进3,黑 4退5",24
6,rnbakab1r/9/1c2c1n2/p1p1p1p1p/9/9/P1P1P1P1P/1C2C1N2/9/RNBAKABR1,b9a7,黑 马2进1,-54,"i9i8,g3g4,i8d8,b0c2,d8d3,b2b1,d3c3,g2e1,b7c7","黑 9进1,红 兵3进1,黑 9平4,红 马8进7,黑 4进5,红 炮8退1,黑 4平3,红 马3退5,黑 炮2平3",-36,"b9c7,c3c4,g6g5,b0c2,b7b3,c2d4,b3g3,b2c2,a9b9,g0i2","黑 马2进3,红 兵7进1,黑 卒7进1,红 马8进7,黑 炮2进4,黑 ,黑 2平7,红 炮8平7,黑 车1平2,红 相3进1",-42,"g6g5,c3c4,b7b3,b0c2,b9c7,c2b4,i9i8,b4c6,b3c3","黑 卒7进1,红 兵7进1,黑 炮2进4,红 马8进7,黑 马2进3,黑 ,黑 9进1,黑 ,黑 2平3",-45
7,r1bakab1r/9/nc2c1n2/p1p1p1p1p/9/9/P1P1P1P1P/1C2C1N2/9/RNBAKABR1,b0c2,黑 ,38,"a3a4,a9a8,b0a2,a8d8,b2b4,d8d4,b4c4,b7b2,c4c9,d9e8","红 兵9进1,黑 车1进1,黑 ,黑 1平4,红 炮8进2,黑 4进4,黑 2平3,黑 炮2进5,黑 3退5,黑 士4进5",57,"g3g4,i9i8,h0h6,b7c7,b0a2,a9b9,a0b0,b9b5,h6g6","红 兵3进1,黑 9进1,黑 8退6,黑 炮2平3,黑 ,黑 车1平2,红 车9平8,黑 马2进42进2,黑 8平7",45,"h0h5,b7c7,b0a2,i9i8,h5d5,a9b9,a0b0","黑 8退5,黑 炮2平3,黑 ,黑 9进1,黑 8平4,黑 车1平2,红 车9平8",43
8,r1bakab1r/9/nc2c1n2/p1p1p1p1p/9/9/P1P1P1P1P/1CN1C1N2/9/R1BAKABR1,a9a8,黑 车1进1,-53,"i9i8,g3g4,i8d8,g2f4,b7c7,h0h5,a9b9,a0b0,d8d4,f4e6,g7e6,e2e6,d9e8,c0e2,b9b3,d0e1,d4d6,e6i6","黑 9进1,红 兵3进1,黑 9平4,红 马3进4,黑 炮2平3,黑 8退5,黑 车1平2,红 车9平8,黑 4进4,黑 ,黑 马7进5,红 炮5进4,黑 士4进5,红 相7进5,黑 2进6,红 仕6进5,黑 4退2,黑 卒5平9",-42,"b7c7,b2b6,a9b9,a0b0,i9i8,h0h5,i8d8,g3g4,d9e8,g2f4,d8d2,f4d5,c7c8,b0b2,e7d7,b6b7","黑 炮2平3,红 炮8进4,黑 车1平2,红 车9平8,黑 9进1,黑 8退5,黑 9平4,红 兵3进1,黑 士4进5,红 马3进4,黑 4进6,黑 ,黑 马3退13退3,黑 2退2,黑 炮5平4,黑 2退1",-49,"a9a8,b2b4,b7c7,a0b0,a8f8,b4e4,e7e4,e2e4,f9e8,b0b7,f8f7,e4c4,c7c4,b7f7,e8f7,c3c4,g6g5,h0h6,f7e8,h6g6,g7f9,c2d4","黑 车1进1,红 炮8进2,黑 炮2平3,红 车9平8,黑 1平6,黑 2平5,黑 炮5进3,红 炮5进2,黑 士6进5,黑 2退7,黑 6进1,黑 5平3,黑 马3进33进3,黑 炮2平6,黑 ,红 兵7进1,黑 卒7进1,黑 8退6,黑 ,黑 8平7,黑 马7退6,黑 ",-53
9,2bakab1r/r8/nc2c1n2/p1p1p1p1p/9/9/P1P1P1P1P/1CN1C1N2/9/R1BAKABR1,g3g4,红 兵3进1,53,"b2b4,b7c7,a0b0,a8f8,b4e4,e7e4,e2e4,f9e8,b0b7,f8f7","红 炮8进2,黑 炮2平3,黑 1平2,黑 1平6,黑 2平5,黑 炮5进3,红 炮5进2,黑 士6进5,黑 2退7,黑 6进1",54,"g3g4,i9i8,h0h6,b7b6,h6g6,i8i7,g2f4,a8d8,d0e1","红 兵3进1,黑 9进1,黑 8退6,黑 炮2进1,黑 8平7,黑 9进1,红 马3进4,黑 1平4,红 仕6进5",53,"b2a2,b7c7,g3g4,i9i8,g2f4,a8d8,a0b0,c6c5,f4e6","红 炮8平9,黑 炮2平3,红 兵3进1,黑 9进1,红 马3进4,黑 1平4,黑 1平2,黑 卒3进1,黑 ",51
10,2bakab1r/r8/nc2c1n2/p1p1p1p1p/9/6P2/P1P1P3P/1CN1C1N2/9/R1BAKABR1,i9i8,黑 9进1,-57,"i9i8,h0h6,e7e8,b2a2,a8d8,d0e1,d8d4","黑 9进1,黑 8退6,黑 炮5退1,红 炮8平9,黑 1平4,红 仕6进5,黑 4进4",-57,"a8d8,e2f2,d8d1,d0e1,i9i8,h0h5,e7d7,c3c4,g9e7,g2f4,c6c5,c4c5,g6g5,h5h4,i8c8,f2f1","黑 1平4,红 炮5平4,黑 4进7,红 仕6进5,黑 9进1,黑 8退5,黑 炮5平4,红 兵7进1,黑 象7进5,红 马3进4,黑 卒3进1,黑 3退1,黑 7进1,黑 8进1,黑 9平3,黑 6进1",-59,"c6c5,d0e1,i9i8,b2b6,g9i7,b6g6,a8f8,a0b0,b7c7,h0h5,f8f6","黑 卒3进1,红 仕6进5,黑 9进1,红 炮8进4,黑 象7进9,黑 2平7,黑 1平6,黑 1平2,黑 炮2平3,黑 8退5,黑 6进2",-77
