idx,fen,move_fen,move_qp,score,best_move1_fen,best_move1_qp,best_score1,best_move2_fen,best_move2_qp,best_score2,best_move3_fen,best_move3_qp,best_score3
1,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR,h2e2,红 炮2平5,35,"g3g4,b7e7,h0g2,b9c7,b0c2,c6c5","红 兵3进1,黑 炮2平5,红 马2进3,黑 马2进3,红 马8进7,黑 卒3进1",44,"b2e2,b9c7,b0c2,g6g5,a0b0,a9b9,b0b4,h9g7,g3g4","红 炮8平5,黑 马2进3,红 马8进7,黑 卒7进1,红 车9平8,黑 车1平2,红 马8进48进8,黑 马8进7,红 兵3进1",42,"h2e2,b9c7,c3c4,h9g7,h0g2","红 炮2平5,黑 马2进3,红 兵7进1,黑 马8进7,红 马2进3",35
2,rnbakabnr/9/1c2c4/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR,h7e7,黑 炮8平5,-51,"h9g7,h0g2,i9h9,i0h0,g6g5,e2e6,g7e6,b2e2","黑 马8进7,红 马2进3,黑 车9平8,红 车1平2,黑 卒7进1,红 炮5进4,黑 ,红 炮8平5",-41,"c9e7,b0c2,g6g5,h0g2,h9g7,i0h0,i9h9","黑 象3进5,红 马8进7,黑 卒7进1,红 马2进3,黑 马8进7,红 车1平2,黑 车9平8",-44,"b7e7,h0g2,h9g7,i0h0,b9c7,h0h6,i9h9","黑 炮2平5,红 马2进3,黑 马8进7,红 车1平2,黑 马2进3,红 马2进62进2,黑 车9平8",-46
3,rnbakabnr/9/1c2c4/p1p1p1p1p/9/9/P1P1P1P1P/1C2C4/9/RNBAKABNR,h0g2,红 马2进3,39,"h0g2,b9c7,i0h0,h9g7,b0c2,c6c5,h0h5","红 马2进3,黑 马2进3,红 车1平2,黑 马8进7,红 马8进7,黑 卒3进1,红 马2进52进2",39,"b0c2,h9g7,h0g2,i9h9,i0i1,b9c7,i1d1,h9h5,d1d6,h5c5,c3c4,c5c4","红 马8进7,黑 马8进7,红 马2进3,黑 车9平8,红 车1进1,黑 马2进3,黑 9平4,黑 马8进48进8,黑 4退5,黑 8平3,红 兵7进1,黑 3进1",25,"c3c4,h9g7,h0g2,i9h9,b0c2,h9h4,c0a2,b7b3,a0c0,b9c7","红 兵7进1,黑 马8进7,红 马2进3,黑 车9平8,红 马8进7,黑 马8进58进8,红 相7进9,黑 炮2进4,红 车9平7,黑 马2进3",21
4,rnbakab1r/9/1c2c1n2/p1p1p1p1p/9/9/P1P1P1P1P/1C2C4/9/RNBAKABNR,h9g7,黑 马8进7,-44,"h9g7,i0h0,b9c7,c3c4,g6g5,b0c2,i9i8,h0h6,a9a8,h6g6,e7e8,c2d4,a8d8","黑 马8进7,红 车1平2,黑 马2进3,红 兵7进1,黑 卒7进1,红 马8进7,黑 车9进1,黑 8退6,黑 车1进1,黑 8平7,黑 炮5退1,黑 ,黑 1平4",-44,"b9c7,b0c2,h9g7,i0h0,c6c5,h0h5,c9a7","黑 马2进3,红 马8进7,黑 马8进7,红 车1平2,黑 卒3进1,黑 8退5,黑 象3进1",-46,"b7d7,b0c2,h9g7,c3c4,b9c7,i0i1","黑 炮2平4,红 马8进7,黑 马8进7,红 兵7进1,黑 马2进3,红 车1进1",-48
5,rnbakab1r/9/1c2c1n2/p1p1p1p1p/9/9/P1P1P1P1P/1C2C1N2/9/RNBAKAB1R,i0h0,红 车1平2,46,"i0h0,b7d7,g3g4,b9c7,b0a2,a9b9,a0b0,c6c5","红 车1平2,黑 炮2平4,红 兵3进1,黑 马2进3,红 马8进9,黑 车1平2,红 车9平8,黑 卒3进1",46,"i0i1,i9h9,i1d1,f9e8,g3g4,c6c5","红 车1进1,黑 车9平8,黑 9平4,黑 士6进5,红 兵3进1,黑 卒3进1",29,"b0c2,i9h9,g3g4,c6c5,b2a2,b9a7,i0i1,a9b9,i1d1,b7c7,a0b0","红 马8进7,黑 车9平8,红 兵3进1,黑 卒3进1,红 炮8平9,黑 马2进1,红 车1进1,黑 车1平2,黑 9平4,黑 炮2平3,红 车9平8",23
6,rnbakabr1/9/1c2c1n2/p1p1p1p1p/9/9/P1P1P1P1P/1C2C1N2/9/RNBAKAB1R,b9a7,黑 马2进1,-50,"g6g5,c3c4,b9c7,b0c2,b7b3,c2b4,i9i8,h0h4,b3g3,g0i2","黑 卒7进1,红 兵7进1,黑 马2进3,红 马8进7,黑 炮2进4,黑 ,黑 车9进1,红 车2进4,黑 2平7,红 相3进1",-44,"i9i8,c3c4,i8c8,b2c2,b9a7,h0h6,e7e8","黑 车9进1,红 兵7进1,黑 9平3,红 炮8平7,黑 马2进1,红 车2进6,黑 炮5退1",-45,"b9c7,g3g4,c6c5,b0a2,i9i8,h0h5,c9a7,b2b6","黑 马2进3,红 兵3进1,黑 卒3进1,红 马8进9,黑 车9进1,红 车2进5,黑 象3进1,红 炮8进4",-47
7,rnbakabr1/9/1c2c1n2/p1p1p1p1p/9/9/P1P1P1P1P/NC2C1N2/9/R1BAKAB1R,b0c2,红 马8进7,47,"a3a4,a9a8,b0a2,i9i8,h0h6,g6g5,h6g6,i8d8,g6g5","红 兵9进1,黑 车1进1,红 马8进9,黑 车9进1,红 车2进6,黑 卒7进1,黑 8平7,黑 9平4,黑 卒7进1",51,"g3g4,i9i8,h0h6,i8d8,h6g6,d8d2,b2c2,a9b9,g4g5,d2d5","红 兵3进1,黑 车9进1,红 车2进6,黑 9平4,黑 8平7,黑 4进6,红 炮8平7,黑 车1平2,黑 7退1,黑 4退3",50,"b0c2,b7c7,b2b6,a9b9,a0b0,i9i8,b6e6,g7e6,e2e6,d9e8,b0b9","红 马8进7,黑 炮2平3,红 炮8进4,黑 车1平2,红 车9平8,黑 车9进1,黑 2平5,黑 马7进5,红 炮5进4,黑 士4进5,红 马8进98进8",47
8,r1bakabr1/9/1cn1c1n2/p1p1p1p1p/9/9/P1P1P1P1P/NC2C1N2/9/R1BAKAB1R,a9a8,黑 车1进1,-59,"b7c7,a0b0,i9i8,b2b6,i8d8,g3g4,a9b9,g2f4","黑 炮2平3,红 车9平8,黑 车9进1,红 炮8进4,黑 9平4,红 兵3进1,黑 车1平2,红 马3进4",-40,"i9i8,c3c4,i8d8,h0h6,d8d3,e2f2,b7c7,c0e2,a9b9,a0b0","黑 车9进1,红 兵7进1,黑 9平4,红 车2进6,黑 4进5,红 炮5平4,黑 炮2平3,红 相7进5,黑 车1平2,红 车9平8",-41,"g6g5,c3c4,i9i8,h0h6,i8d8,g3g4,g5g4,h6g6,b7c7","黑 卒7进1,红 兵7进1,黑 车9进1,红 车2进6,黑 9平4,红 兵3进1,黑 7进1,黑 8平7,黑 炮2平3",-53
9,r1bakabr1/9/1cn1c1n2/p1p1p1p1p/9/9/P1P1P1P1P/NC2C1N2/R8/2BAKAB1R,g3g4,红 兵3进1,58,"b2b4,b7c7,b4c4,c7c4,c3c4,a8f8,d0e1,g6g5,c2d4,i9i7,d4e6","红 炮8进2,黑 炮2平3,黑 2平3,黑 3进3,红 兵7进1,黑 车1平6,红 仕6进5,黑 卒7进1,红 马7进6,黑 车9进2,黑 ",60,"g3g4,a8d8,c3c4,i9i8,e2f2,i8f8,d0e1,f8f3,g2h4","红 兵3进1,黑 车1平4,红 兵7进1,黑 车9进1,红 炮5平4,黑 9平6,红 仕6进5,黑 6进5,红 马3进2",58,"b2a2,a8d8,a0b0,b7c7,g3g4,d8d4","红 炮8平9,黑 车1平4,红 车9平8,黑 炮2平3,红 兵3进1,黑 4进4",51
10,r1bakabr1/9/1cn1c1n2/p1p1p3p/6p2/9/P1P1P1P1P/NC2C1N2/R8/2BAKAB1R,i9i8,黑 车9进1,-59,"a8d8,g2f4,i9i8,f4g6","黑 车1平4,红 马3进4,黑 车9进1,黑 ",-52,"c6c5,b2b6,a8c8,b6g6,c5c4,c3c4,c8c4","黑 卒3进1,红 炮8进4,黑 车1平3,黑 2平7,黑 3进1,红 兵7进1,黑 3进4",-56,"i9i8,h0h6,i8f8,b2a2,a8d8,a0b0","黑 车9进1,红 车2进6,黑 9平6,红 炮8平9,黑 车1平4,红 车9平8",-59
